ticker,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,1y Target Est,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Open,PE Ratio (TTM),Previous Close,Volume,url,error
KANSAINER.BO,468.73,343.40 - 540.45,0.00 x 0,"31,369",0.91,0.00 x 0,445.10 - 460.00,9.545,,14-06-18,2.60 (0.58%),244.993B,445.5,47.63,448.55,"2,413",http://finance.yahoo.com/quote/KANSAINER.BO?p=KANSAINER.BO,
GOODRICKE.BO,158,245.05 - 484.00,0.00 x 0,"7,838",1.19,0.00 x 0,272.55 - 278.00,6.792,,19-07-18,4.50 (1.59%),5.907B,276.25,40.26,276.65,"2,335",http://finance.yahoo.com/quote/GOODRICKE.BO?p=GOODRICKE.BO,
GOODYEAR.BO,631,"892.00 - 1,298.70",0.00 x 0,"1,655",0.93,0.00 x 0,900.00 - 912.45,49.039,,01-08-18,13.00 (1.41%),20.861B,903.6,18.44,908,"2,486",http://finance.yahoo.com/quote/GOODYEAR.BO?p=GOODYEAR.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
GHCL.BO,345.5,189.50 - 357.50,0.00 x 0,"11,472",0.37,0.00 x 0,257.05 - 263.00,36.25,2019-01-30 to 2019-02-04,24-05-18,5.00 (2.03%),25.327B,258,7.12,255.05,"16,912",http://finance.yahoo.com/quote/GHCL.BO?p=GHCL.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
,,,,,,,,,,,,,,,,,,Failed to parse json response
HCL-INSYS.BO,70,21.15 - 69.55,0.00 x 0,"113,989",1.12,0.00 x 0,23.90 - 24.65,-11.788,,03-05-12,N/A (N/A),7.901B,24.65,N/A,24.3,"101,696",http://finance.yahoo.com/quote/HCL-INSYS.BO?p=HCL-INSYS.BO,
,,,,,,,,,,,,,,,,,,Failed to parse json response
HEROMOTOCO.BO,3364.28,"2,648.70 - 3,862.00",0.00 x 0,"26,205",0.3,0.00 x 0,"2,864.05 - 2,927.90",186.29,,12-07-18,80.00 (2.74%),577.787B,"2,907.00",15.53,"2,906.45","13,770",http://finance.yahoo.com/quote/HEROMOTOCO.BO?p=HEROMOTOCO.BO,
HFCL.BO,25,17.20 - 35.25,0.00 x 0,"681,228",0.96,0.00 x 0,22.75 - 23.80,1.349,2018-08-08 to 2018-08-13,21-09-18,0.06 (0.25%),28.429B,23.55,16.9,23.55,"697,275",http://finance.yahoo.com/quote/HFCL.BO?p=HFCL.BO,
HSCL.BO,184.8,103.55 - 192.60,0.00 x 0,"82,578",1.03,0.00 x 0,130.00 - 132.00,5.914,,23-08-18,0.10 (0.07%),54.644B,132,22.08,131.85,"20,558",http://finance.yahoo.com/quote/HSCL.BO?p=HSCL.BO,
HCC.BO,21.53,9.39 - 41.00,0.00 x 0,"1,199,991",1.03,0.00 x 0,13.00 - 14.00,-8.028,2019-02-01 to 2019-02-05,30-05-11,N/A (N/A),20.259B,13.1,N/A,13.07,"1,484,653",http://finance.yahoo.com/quote/HCC.BO?p=HCC.BO,
HINDOILEXP.BO,194,97.50 - 164.80,0.00 x 0,"52,340",1.04,0.00 x 0,128.05 - 132.40,2.85,,23-08-10,N/A (N/A),17.16B,128.5,46.14,127.75,"101,714",http://finance.yahoo.com/quote/HINDOILEXP.BO?p=HINDOILEXP.BO,
HSIL.BO,333,186.00 - 509.80,0.00 x 0,"11,324",1.1,0.00 x 0,231.80 - 243.00,10.25,2019-01-23 to 2019-01-28,23-08-18,4.00 (1.55%),17.131B,243,23.12,247.95,"5,473",http://finance.yahoo.com/quote/HSIL.BO?p=HSIL.BO,
HINDZINC.BO,287.63,259.50 - 339.55,0.00 x 0,"176,619",0.51,0.00 x 0,271.20 - 274.90,20.171,,31-10-18,28.00 (10.18%),1.151T,273.1,13.5,272.7,"10,988",http://finance.yahoo.com/quote/HINDZINC.BO?p=HINDZINC.BO,
